Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2020Q3,,SB0801,,D102H,,Elective Inpatients,,3,,200,409,2.045,,201,1089,5.41791044776119,
2020Q4,,SB0801,,D102H,,Elective Inpatients,,3,,361,918,2.54293628808864,,365,1888,5.17260273972603,
2021Q1,,SB0801,,D102H,,Elective Inpatients,,3,,344,887,2.57848837209302,,340,1682,4.94705882352941,
2021Q2,,SB0801,,D102H,,Elective Inpatients,,3,,360,1024,2.84444444444444,,359,1774,4.94150417827298,
2021Q3,p,SB0801,,D102H,,Elective Inpatients,,3,,356,928,2.60674157303371,,352,1737,4.93465909090909,
2016Q3,,SB0801,,D102H,,Elective Inpatients,,4,,394,1139,2.89086294416244,,397,1783,4.4911838790932,
2016Q4,,SB0801,,D102H,,Elective Inpatients,,4,,372,986,2.6505376344086,,378,1640,4.33862433862434,
2017Q1,,SB0801,,D102H,,Elective Inpatients,,4,,389,944,2.426735218509,,384,1494,3.890625,
2017Q2,,SB0801,,D102H,,Elective Inpatients,,4,,356,971,2.72752808988764,,358,1507,4.20949720670391,
2017Q3,,SB0801,,D102H,,Elective Inpatients,,4,,364,1017,2.79395604395604,,370,1638,4.42702702702703,
2017Q4,,SB0801,,D102H,,Elective Inpatients,,4,,365,993,2.72054794520548,,368,1844,5.01086956521739,
2018Q1,,SB0801,,D102H,,Elective Inpatients,,4,,371,1207,3.2533692722372,,361,1745,4.83379501385042,
2018Q2,,SB0801,,D102H,,Elective Inpatients,,4,,385,1008,2.61818181818182,,390,1748,4.48205128205128,
2018Q3,,SB0801,,D102H,,Elective Inpatients,,4,,410,1013,2.47073170731707,,409,1756,4.29339853300733,
2018Q4,,SB0801,,D102H,,Elective Inpatients,,4,,372,915,2.45967741935484,,372,1612,4.33333333333333,
2019Q1,,SB0801,,D102H,,Elective Inpatients,,4,,407,893,2.19410319410319,,409,1641,4.01222493887531,
2019Q2,,SB0801,,D102H,,Elective Inpatients,,4,,328,821,2.5030487804878,,327,1355,4.14373088685015,
2019Q3,,SB0801,,D102H,,Elective Inpatients,,4,,346,794,2.29479768786127,,354,1562,4.41242937853107,
2019Q4,,SB0801,,D102H,,Elective Inpatients,,4,,359,1076,2.9972144846796702,,369,1823,4.94037940379404,
2020Q1,,SB0801,,D102H,,Elective Inpatients,,4,,354,776,2.19209039548023,,359,1341,3.73537604456825,
2020Q2,,SB0801,,D102H,,Elective Inpatients,,4,,107,192,1.79439252336449,,100,594,5.94,
2020Q3,,SB0801,,D102H,,Elective Inpatients,,4,,204,453,2.22058823529412,,211,1099,5.2085308056872,
2020Q4,,SB0801,,D102H,,Elective Inpatients,,4,,321,855,2.66355140186916,,322,1435,4.45652173913043,
2021Q1,,SB0801,,D102H,,Elective Inpatients,,4,,285,792,2.77894736842105,,285,1267,4.44561403508772,
2021Q2,,SB0801,,D102H,,Elective Inpatients,,4,,353,854,2.41926345609065,,354,1490,4.2090395480226,
2021Q3,p,SB0801,,D102H,,Elective Inpatients,,4,,308,789,2.56168831168831,,313,1310,4.185303514377,
2016Q3,,SB0801,,D102H,,Elective Inpatients,,5,,305,832,2.7278688524590202,,314,1244,3.96178343949045,
2016Q4,,SB0801,,D102H,,Elective Inpatients,,5,,291,758,2.60481099656357,,298,1220,4.09395973154362,
2017Q1,,SB0801,,D102H,,Elective Inpatients,,5,,335,838,2.50149253731343,,332,1563,4.70783132530121,
2017Q2,,SB0801,,D102H,,Elective Inpatients,,5,,358,814,2.27374301675978,,366,1593,4.35245901639344,
2017Q3,,SB0801,,D102H,,Elective Inpatients,,5,,304,820,2.69736842105263,,308,1330,4.31818181818182,
2017Q4,,SB0801,,D102H,,Elective Inpatients,,5,,340,832,2.44705882352941,,341,1396,4.09384164222874,
2018Q1,,SB0801,,D102H,,Elective Inpatients,,5,,354,914,2.5819209039548,,348,1620,4.6551724137931,
2018Q2,,SB0801,,D102H,,Elective Inpatients,,5,,371,990,2.66846361185984,,375,1602,4.272,
2018Q3,,SB0801,,D102H,,Elective Inpatients,,5,,345,840,2.43478260869565,,348,1495,4.29597701149425,
2018Q4,,SB0801,,D102H,,Elective Inpatients,,5,,386,792,2.05181347150259,,392,1405,3.58418367346939,
2019Q1,,SB0801,,D102H,,Elective Inpatients,,5,,363,682,1.87878787878788,,373,1174,3.14745308310992,
2019Q2,,SB0801,,D102H,,Elective Inpatients,,5,,341,733,2.14956011730205,,347,1277,3.68011527377522,
2019Q3,,SB0801,,D102H,,Elective Inpatients,,5,,306,755,2.46732026143791,,305,1205,3.95081967213115,
2019Q4,,SB0801,,D102H,,Elective Inpatients,,5,,317,692,2.18296529968454,,323,1343,4.15789473684211,
2020Q1,,SB0801,,D102H,,Elective Inpatients,,5,,309,608,1.96763754045307,,308,1256,4.07792207792208,
2020Q2,,SB0801,,D102H,,Elective Inpatients,,5,,82,118,1.4390243902439,,84,505,6.01190476190476,
2020Q3,,SB0801,,D102H,,Elective Inpatients,,5,,222,454,2.04504504504505,,210,877,4.17619047619048,
2020Q4,,SB0801,,D102H,,Elective Inpatients,,5,,305,736,2.41311475409836,,317,1361,4.29337539432177,
2021Q1,,SB0801,,D102H,,Elective Inpatients,,5,,296,641,2.16554054054054,,284,1066,3.75352112676056,
2021Q2,,SB0801,,D102H,,Elective Inpatients,,5,,293,721,2.46075085324232,,295,1671,5.66440677966102,
2021Q3,p,SB0801,,D102H,,Elective Inpatients,,5,,284,605,2.13028169014085,,284,1106,3.8943661971831,
2016Q3,,SB0801,,D102H,,Elective Inpatients,, ,:,0,5, ,z,0,11, ,z
2016Q4,,SB0801,,D102H,,Elective Inpatients,, ,:,0,5, ,z,0,5, ,z
2017Q1,,SB0801,,D102H,,Elective Inpatients,, ,:,0,8, ,z,0,8, ,z
2018Q1,,SB0801,,D102H,,Elective Inpatients,, ,:,5,0,0,,5,0,0,
2018Q2,,SB0801,,D102H,,Elective Inpatients,, ,:,0,11, ,z,0,10, ,z
2018Q3,,SB0801,,D102H,,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2019Q1,,SB0801,,D102H,,Elective Inpatients,, ,:,0,0, ,z,0,18, ,z
2019Q3,,SB0801,,D102H,,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2019Q4,,SB0801,,D102H,,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2020Q3,,SB0801,,D102H,,Elective Inpatients,, ,:,0,5, ,z,0,0, ,z
2020Q4,,SB0801,,D102H,,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2021Q2,,SB0801,,D102H,,Elective Inpatients,, ,:,0,5, ,z,0,15, ,z
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,,1,,393,855,2.17557251908397,,402,2524,6.27860696517413,
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,,1,,395,1045,2.64556962025316,,401,2021,5.03990024937656,
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,,1,,431,1006,2.33410672853828,,427,1990,4.66042154566745,
2017Q2,,SB0801,,SB0801,d,Elective Inpatients,,1,,392,901,2.2984693877551,,392,2090,5.33163265306122,
2017Q3,,SB0801,,SB0801,d,Elective Inpatients,,1,,364,968,2.65934065934066,,368,1811,4.92119565217391,
2017Q4,,SB0801,,SB0801,d,Elective Inpatients,,1,,422,946,2.24170616113744,,440,2144,4.87272727272727,
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,,1,,434,1086,2.50230414746544,,417,1958,4.69544364508393,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,,1,,444,1049,2.36261261261261,,437,2103,4.81235697940503,
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,,1,,439,855,1.94760820045558,,460,2293,4.98478260869565,
2018Q4,,SB0801,,SB0801,d,Elective Inpatients,,1,,447,901,2.01565995525727,,457,1939,4.24288840262582,
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,,1,,479,981,2.04801670146138,,480,1995,4.15625,
2019Q2,,SB0801,,SB0801,d,Elective Inpatients,,1,,434,863,1.98847926267281,,437,2093,4.78947368421053,
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,,1,,399,911,2.28320802005013,,402,2378,5.91542288557214,
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,,1,,390,791,2.02820512820513,,399,2231,5.59147869674185,
2020Q1,,SB0801,,SB0801,d,Elective Inpatients,,1,,356,664,1.86516853932584,,358,1794,5.01117318435754,
2020Q2,,SB0801,,SB0801,d,Elective Inpatients,,1,,180,303,1.68333333333333,,163,957,5.87116564417178,
2020Q3,,SB0801,,SB0801,d,Elective Inpatients,,1,,297,610,2.05387205387205,,309,1714,5.54692556634304,
2020Q4,,SB0801,,SB0801,d,Elective Inpatients,,1,,359,770,2.14484679665738,,364,1794,4.92857142857143,
2021Q1,,SB0801,,SB0801,d,Elective Inpatients,,1,,391,1000,2.55754475703325,,382,2088,5.46596858638743,
2021Q2,,SB0801,,SB0801,d,Elective Inpatients,,1,,388,925,2.3840206185567,,379,1861,4.91029023746702,
2021Q3,p,SB0801,,SB0801,d,Elective Inpatients,,1,,341,882,2.58651026392962,,342,1734,5.07017543859649,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,,2,,492,1331,2.70528455284553,,490,2275,4.64285714285714,
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,,2,,414,1187,2.86714975845411,,427,2244,5.25526932084309,
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,,2,,411,1289,3.13625304136253,,401,1805,4.50124688279302,
2017Q2,,SB0801,,SB0801,d,Elective Inpatients,,2,,392,920,2.3469387755102,,404,2139,5.29455445544554,
2017Q3,,SB0801,,SB0801,d,Elective Inpatients,,2,,420,1016,2.41904761904762,,428,1977,4.61915887850467,
2017Q4,,SB0801,,SB0801,d,Elective Inpatients,,2,,453,1176,2.59602649006623,,458,2343,5.11572052401747,
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,,2,,393,886,2.25445292620865,,398,1650,4.14572864321608,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,,2,,430,1013,2.35581395348837,,428,1951,4.55841121495327,
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,,2,,432,973,2.25231481481481,,442,1994,4.51131221719457,
2018Q4,,SB0801,,SB0801,d,Elective Inpatients,,2,,443,1012,2.28442437923251,,455,1819,3.9978021978022,
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,,2,,407,803,1.97297297297297,,412,1668,4.04854368932039,
2019Q2,,SB0801,,SB0801,d,Elective Inpatients,,2,,399,905,2.26817042606516,,394,1694,4.2994923857868,
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,,2,,382,792,2.07329842931937,,390,1877,4.81282051282051,
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,,2,,368,837,2.27445652173913,,384,2157,5.6171875,
2020Q1,,SB0801,,SB0801,d,Elective Inpatients,,2,,350,782,2.23428571428571,,356,1983,5.57022471910112,
2020Q2,,SB0801,,SB0801,d,Elective Inpatients,,2,,133,308,2.31578947368421,,137,940,6.86131386861314,
2020Q3,,SB0801,,SB0801,d,Elective Inpatients,,2,,258,2392,9.27131782945736,,260,3149,12.1115384615385,
2020Q4,,SB0801,,SB0801,d,Elective Inpatients,,2,,334,851,2.54790419161677,,332,1584,4.7710843373494,
2021Q1,,SB0801,,SB0801,d,Elective Inpatients,,2,,393,967,2.46055979643766,,375,1839,4.904,
2021Q2,,SB0801,,SB0801,d,Elective Inpatients,,2,,347,853,2.45821325648415,,351,1854,5.28205128205128,
2021Q3,p,SB0801,,SB0801,d,Elective Inpatients,,2,,330,750,2.27272727272727,,326,1997,6.12576687116564,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,,3,,412,1383,3.35679611650485,,409,2016,4.92909535452323,
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,,3,,374,1013,2.70855614973262,,382,1892,4.95287958115183,
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,,3,,399,1094,2.74185463659148,,402,1799,4.47512437810945,
2017Q2,,SB0801,,SB0801,d,Elective Inpatients,,3,,367,918,2.50136239782016,,378,1834,4.85185185185185,
2017Q3,,SB0801,,SB0801,d,Elective Inpatients,,3,,422,1116,2.64454976303318,,431,1967,4.56380510440835,
2017Q4,,SB0801,,SB0801,d,Elective Inpatients,,3,,400,1062,2.655,,400,1980,4.95,
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,,3,,428,1063,2.48364485981308,,423,2025,4.78723404255319,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,,3,,381,1012,2.65616797900262,,374,1684,4.50267379679144,
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,,3,,458,1211,2.64410480349345,,468,2190,4.67948717948718,
2018Q4,,SB0801,,SB0801,d,Elective Inpatients,,3,,463,1205,2.60259179265659,,462,1896,4.1038961038961,
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,,3,,430,1040,2.41860465116279,,435,1691,3.88735632183908,
2019Q2,,SB0801,,SB0801,d,Elective Inpatients,,3,,421,992,2.3562945368171,,418,1671,3.99760765550239,
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,,3,,426,1052,2.46948356807512,,425,2145,5.04705882352941,
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,,3,,389,934,2.40102827763496,,399,2055,5.15037593984962,
2020Q1,,SB0801,,SB0801,d,Elective Inpatients,,3,,344,802,2.33139534883721,,340,1717,5.05,
2020Q2,,SB0801,,SB0801,d,Elective Inpatients,,3,,148,471,3.18243243243243,,144,1055,7.32638888888889,
2020Q3,,SB0801,,SB0801,d,Elective Inpatients,,3,,200,409,2.045,,201,1089,5.41791044776119,
2020Q4,,SB0801,,SB0801,d,Elective Inpatients,,3,,361,918,2.54293628808864,,365,1888,5.17260273972603,
2021Q1,,SB0801,,SB0801,d,Elective Inpatients,,3,,344,887,2.57848837209302,,340,1682,4.94705882352941,
2021Q2,,SB0801,,SB0801,d,Elective Inpatients,,3,,360,1024,2.84444444444444,,359,1774,4.94150417827298,
2021Q3,p,SB0801,,SB0801,d,Elective Inpatients,,3,,356,928,2.60674157303371,,352,1737,4.93465909090909,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,,4,,394,1139,2.89086294416244,,397,1783,4.4911838790932,
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,,4,,372,986,2.6505376344086,,378,1640,4.33862433862434,
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,,4,,389,944,2.426735218509,,384,1494,3.890625,
2017Q2,,SB0801,,SB0801,d,Elective Inpatients,,4,,356,971,2.72752808988764,,358,1507,4.20949720670391,
2017Q3,,SB0801,,SB0801,d,Elective Inpatients,,4,,364,1017,2.79395604395604,,370,1638,4.42702702702703,
2017Q4,,SB0801,,SB0801,d,Elective Inpatients,,4,,365,993,2.72054794520548,,368,1844,5.01086956521739,
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,,4,,371,1207,3.2533692722372,,361,1745,4.83379501385042,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,,4,,385,1008,2.61818181818182,,390,1748,4.48205128205128,
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,,4,,410,1013,2.47073170731707,,409,1756,4.29339853300733,
2018Q4,,SB0801,,SB0801,d,Elective Inpatients,,4,,372,915,2.45967741935484,,372,1612,4.33333333333333,
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,,4,,407,893,2.19410319410319,,409,1641,4.01222493887531,
2019Q2,,SB0801,,SB0801,d,Elective Inpatients,,4,,328,821,2.5030487804878,,327,1355,4.14373088685015,
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,,4,,346,794,2.29479768786127,,354,1562,4.41242937853107,
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,,4,,359,1076,2.9972144846796702,,369,1823,4.94037940379404,
2020Q1,,SB0801,,SB0801,d,Elective Inpatients,,4,,354,776,2.19209039548023,,359,1341,3.73537604456825,
2020Q2,,SB0801,,SB0801,d,Elective Inpatients,,4,,107,192,1.79439252336449,,100,594,5.94,
2020Q3,,SB0801,,SB0801,d,Elective Inpatients,,4,,204,453,2.22058823529412,,211,1099,5.2085308056872,
2020Q4,,SB0801,,SB0801,d,Elective Inpatients,,4,,321,855,2.66355140186916,,322,1435,4.45652173913043,
2021Q1,,SB0801,,SB0801,d,Elective Inpatients,,4,,285,792,2.77894736842105,,285,1267,4.44561403508772,
2021Q2,,SB0801,,SB0801,d,Elective Inpatients,,4,,353,854,2.41926345609065,,354,1490,4.2090395480226,
2021Q3,p,SB0801,,SB0801,d,Elective Inpatients,,4,,308,789,2.56168831168831,,313,1310,4.185303514377,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,,5,,305,832,2.7278688524590202,,314,1244,3.96178343949045,
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,,5,,291,758,2.60481099656357,,298,1220,4.09395973154362,
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,,5,,335,838,2.50149253731343,,332,1563,4.70783132530121,
2017Q2,,SB0801,,SB0801,d,Elective Inpatients,,5,,358,814,2.27374301675978,,366,1593,4.35245901639344,
2017Q3,,SB0801,,SB0801,d,Elective Inpatients,,5,,304,820,2.69736842105263,,308,1330,4.31818181818182,
2017Q4,,SB0801,,SB0801,d,Elective Inpatients,,5,,340,832,2.44705882352941,,341,1396,4.09384164222874,
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,,5,,354,914,2.5819209039548,,348,1620,4.6551724137931,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,,5,,371,990,2.66846361185984,,375,1602,4.272,
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,,5,,345,840,2.43478260869565,,348,1495,4.29597701149425,
2018Q4,,SB0801,,SB0801,d,Elective Inpatients,,5,,386,792,2.05181347150259,,392,1405,3.58418367346939,
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,,5,,363,682,1.87878787878788,,373,1174,3.14745308310992,
2019Q2,,SB0801,,SB0801,d,Elective Inpatients,,5,,341,733,2.14956011730205,,347,1277,3.68011527377522,
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,,5,,306,755,2.46732026143791,,305,1205,3.95081967213115,
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,,5,,317,692,2.18296529968454,,323,1343,4.15789473684211,
2020Q1,,SB0801,,SB0801,d,Elective Inpatients,,5,,309,608,1.96763754045307,,308,1256,4.07792207792208,
2020Q2,,SB0801,,SB0801,d,Elective Inpatients,,5,,82,118,1.4390243902439,,84,505,6.01190476190476,
2020Q3,,SB0801,,SB0801,d,Elective Inpatients,,5,,222,454,2.04504504504505,,210,877,4.17619047619048,
2020Q4,,SB0801,,SB0801,d,Elective Inpatients,,5,,305,736,2.41311475409836,,317,1361,4.29337539432177,
2021Q1,,SB0801,,SB0801,d,Elective Inpatients,,5,,296,641,2.16554054054054,,284,1066,3.75352112676056,
2021Q2,,SB0801,,SB0801,d,Elective Inpatients,,5,,293,721,2.46075085324232,,295,1671,5.66440677966102,
2021Q3,p,SB0801,,SB0801,d,Elective Inpatients,,5,,284,605,2.13028169014085,,284,1106,3.8943661971831,
2016Q3,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,5, ,z,0,11, ,z
2016Q4,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,5, ,z,0,5, ,z
2017Q1,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,8, ,z,0,8, ,z
2018Q1,,SB0801,,SB0801,d,Elective Inpatients,, ,:,5,0,0,,5,0,0,
2018Q2,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,11, ,z,0,10, ,z
2018Q3,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2019Q1,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,0, ,z,0,18, ,z
2019Q3,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2019Q4,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2020Q3,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,5, ,z,0,0, ,z
2020Q4,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2021Q2,,SB0801,,SB0801,d,Elective Inpatients,, ,:,0,5, ,z,0,15, ,z
2016Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,450,1379,3.06444444444444,,473,1911,4.04016913319239,
2016Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,483,1545,3.19875776397516,,522,1920,3.67816091954023,
